op,Peças,Quantidade,Tamanho da peça,Peso,Tempo,Espessura,Aproveitamento,Tamanho da chapa,qt. chapa,data abertura de op,maquina,op_espelho,opp,DATA,PADRÃO?,operador_final_matricula
1637 JFY,029518A - PISO DA GAIOLA 1,1,1152.96 * 370.00,,,2 mm ,"0,9025","1200,00 × 1370,00 mm","1,00",26/03/2025,Laser JYF,,opp,,,PCP
1637 JFY,029518B - PISO DA GAIOLA 2,1,1152.96 * 370.00,,,2 mm ,"0,9025","1200,00 × 1370,00 mm","1,00",26/03/2025,Laser JYF,,opp,,,PCP
1637 JFY,029518C - PISO DA GAIOLA 3,1,1152.96 * 337.04,,,2 mm ,"0,9025","1200,00 × 1370,00 mm","1,00",26/03/2025,Laser JYF,,opp,,,PCP
1637 JFY,425849 - COMLEM TRANSV TRASEIRA CBHM,22,148.54 * 73.00,,,2 mm ,"0,9025","1200,00 × 1370,00 mm","1,00",26/03/2025,Laser JYF,,opp,,,PCP
1637 JFY,028417-CHAPA SUPORTE COLUNA,1,100.00 * 100.00,,,2 mm ,"0,9025","1200,00 × 1370,00 mm","1,00",26/03/2025,Laser JYF,,opp,,,PCP
106945,"030384 - CHAPEAMENTO LATERAL _ CAÇAMBA 1 EIXO _ CBH 5,0-6,0T",1,,,,"2,65 mm ","0,924","1500,00 × 3700,00 mm","1,00",26/03/2025,Laser JYF,1211 JFY,,,,PCP
106945,465793-PLASMA,6,,,,"2,65 mm ","0,924","1500,00 × 3700,00 mm","1,00",26/03/2025,Laser JYF,1211 JFY,,,,PCP
106945,031207 - FECHAM. DO FUEIRO _ CAÇAMBA _ CBH,7,,,,"2,65 mm ","0,924","1500,00 × 3700,00 mm","1,00",26/03/2025,Laser JYF,1211 JFY,,,,PCP
106946,460680 - TRANSVERSINA CENTRAL [PLATAFORMA - CBHM5000],48,,,,"3,75 mm ","0,9652","1210,00 × 4000,00 mm","3,00",26/03/2025,Laser JYF,1084 JFY,,,,PCP
106946,031238 - FECHAM. DO FUEIRO DIANT. SUP. M18 v2,6,,,,"3,75 mm ","0,9652","1210,00 × 4000,00 mm","3,00",26/03/2025,Laser JYF,1084 JFY,,,,PCP
106946,031237 - CHAPEAM. DO FUEIRO DIANT. M18 v2,3,,,,"3,75 mm ","0,9652","1210,00 × 4000,00 mm","3,00",26/03/2025,Laser JYF,1084 JFY,,,,PCP
106946,429764-plasma,120,,,,"3,75 mm ","0,9652","1210,00 × 4000,00 mm","3,00",26/03/2025,Laser JYF,1084 JFY,,,,PCP
106946,409820 - PLASMA,0,,,,"3,75 mm ","0,9652","1210,00 × 4000,00 mm","3,00",26/03/2025,Laser JYF,1084 JFY,,,,PCP
20165,030494 - LONGARINA [CHASSI - CBHM],12,"372,77 × 3254,99 mm","57,00 kg",0:03:16,"MS 6,00 mm ","89,46%","6000,00 × 1200,00 mm","4,00",26/03/2025,Plasma,,opp,,,PCP
20165,030508 - REFORÇO,40,"1068,00 × 205,00 mm","8,10 kg",0:00:45,"MS 6,00 mm ","89,46%","6000,00 × 1200,00 mm","4,00",26/03/2025,Plasma,,opp,,,PCP
20165,030537 - MÃO FRANCESA DIANTEIRA,112,"200,00 × 150,00 mm","0,68 kg",0:00:20,"MS 6,00 mm ","89,46%","6000,00 × 1200,00 mm","4,00",26/03/2025,Plasma,,opp,,,PCP
20165,030506 - TRANSV. DIANT. TRAS. E CENTRAL,20,"657,00 × 215,71 mm","6,34 kg",0:00:37,"MS 6,00 mm ","89,46%","6000,00 × 1200,00 mm","4,00",26/03/2025,Plasma,,opp,,,PCP
106947,031486 - PISO DIREITO _ PLATAFORMA _ CBHM 6000 CAFEEIRA,7,,,,2 mm,"0,96","1210,00 × 3510,00 mm","14,00",27/03/2025,Laser JYF,490 JFY,,,,PCP
106947,031487 - PISO ESQUERDO _ PLATAFORMA _ CBHM 6000 CAFEEIRA,7,,,,2 mm,"0,96","1210,00 × 3510,00 mm","14,00",27/03/2025,Laser JYF,490 JFY,,,,PCP
106947,031018 - COLUNA LATERAL ALT 45 MD rev 03,147,,,,2 mm,"0,96","1210,00 × 3510,00 mm","14,00",27/03/2025,Laser JYF,490 JFY,,,,PCP
106948,031224 - PARTE SUPERIOR CHAPA _ TAMPA TRASEIRA ABL _ CBH M18,12,,,,"2,25 mm ","0,9356","1200,00 × 4000,00 mm","3,00",27/03/2025,Laser JYF,1537 JFY,,,,PCP
106948,031223 - PARTE INF. CHAPA TAMPA TRAS. M18,0,,,,"2,25 mm ","0,9356","1200,00 × 4000,00 mm","3,00",27/03/2025,Laser JYF,1537 JFY,,,,PCP
106949,031224 - PARTE SUPERIOR CHAPA _ TAMPA TRASEIRA ABL _ CBH M18,0,,,,"2,25 mm ","0,9222","1200,00 × 4000,00 mm","6,00",27/03/2025,Laser JYF,1538 JFY,,,,PCP
106949,031223 - PARTE INF. CHAPA TAMPA TRAS. M18,12,,,,"2,25 mm ","0,9222","1200,00 × 4000,00 mm","6,00",27/03/2025,Laser JYF,1538 JFY,,,,PCP
106950,446178,12,,,,"4,75 mm ","0,9338","1200,00 × 4040,00 mm","1,00",27/03/2025,Laser JYF,850 JFY,,,,PCP
106950,"446282-TRANSV MAIOR  ICAM M98 F4,6",24,,,,"4,75 mm ","0,9338","1200,00 × 4040,00 mm","1,00",27/03/2025,Laser JYF,850 JFY,,,,PCP
106950,"446312-FECHAM COMPL  ICAM F4,6",20,,,,"4,75 mm ","0,9338","1200,00 × 4040,00 mm","1,00",27/03/2025,Laser JYF,850 JFY,,,,PCP
106950,030388 - COMPLEMENTO BASE MÓVEL,0,,,,"4,75 mm ","0,9338","1200,00 × 4040,00 mm","1,00",27/03/2025,Laser JYF,850 JFY,,,,PCP
106950,494616 - FECHAMENTO SUPERIOR [FUEIRO - CBHM],69,,,,"4,75 mm ","0,9338","1200,00 × 4040,00 mm","1,00",27/03/2025,Laser JYF,850 JFY,,,,PCP
106951,493107 CHAPEAM GRADE LATERAL 45CM CBHM,40,,,,2 mm,"0,9793","1210,00 × 2800,00 mm","20,00",27/03/2025,Laser JYF,390 JFY,,,,PCP
106952,030591 - FECHAMENTO TRASEIRO CENTRAL [CAÇAMBA - CBH],18,,,,"MS 4,75 mm","0,9536","2820,00 × 1210,00 mm","3,00",27/03/2025,Plasma,17622,,,,PCP
106953,030591 [LASER] - FECHAMENTO TRASEIRO CENTRAL [CAÇAMBA - CBH],18,,,,"4,75 mm","0,9444","1210,00 × 2820,00 mm","3,00",27/03/2025,Laser JYF,221 JFY,,,,PCP
106954,031237 - CHAPEAM. DO FUEIRO DIANT. M18 v2,20,,,,"3,75 mm ","0,9447","1200,00 × 3000,00 mm","1,00",27/03/2025,Laser JYF,913 JFY,,,,PCP
106954,031238 - FECHAM. DO FUEIRO DIANT. SUP. M18 v2,18,,,,"3,75 mm ","0,9447","1200,00 × 3000,00 mm","1,00",27/03/2025,Laser JYF,913 JFY,,,,PCP
106954,031017 - FECHAMENTO LATERAL ALT 45 [GRADE TRASEIRA - F],6,,,,"3,75 mm ","0,9447","1200,00 × 3000,00 mm","1,00",27/03/2025,Laser JYF,913 JFY,,,,PCP
106954,465422.FECH. TRAS. LONG. PLASMAdwg,3,,,,"3,75 mm ","0,9447","1200,00 × 3000,00 mm","1,00",27/03/2025,Laser JYF,913 JFY,,,,PCP
106954,409820 - PLASMA,13,,,,"3,75 mm ","0,9447","1200,00 × 3000,00 mm","1,00",27/03/2025,Laser JYF,913 JFY,,,,PCP
106955,032353 - COMPL. SUPORTE FRONTAL _ CHASSI,24,,,,3/16,"0,8.42092e+19","4000,00 x 1200,00 mm","4,00",27/03/2025,Laser,1816,,,,PCP
106955,032352A - SUPORTE FRONTAL FURADO _ CHASS,24,,,,3/16,"0,8.42092e+19","4000,00 x 1200,00 mm","4,00",27/03/2025,Laser,1816,,,,PCP
106955,033889 - REFORÇO INTERIOR DO CABEÇÃO,24,,,,3/16,"0,8.42092e+19","4000,00 x 1200,00 mm","4,00",27/03/2025,Laser,1816,,,,PCP
106955,030316 - REFORÇO DO SUPORTE DIANT  M17,36,,,,3/16,"0,8.42092e+19","4000,00 x 1200,00 mm","4,00",27/03/2025,Laser,1816,,,,PCP
106955,030368 - FECHAM DA TRANSVERSINA,8,,,,3/16,"0,8.42092e+19","4000,00 x 1200,00 mm","4,00",27/03/2025,Laser,1816,,,,PCP
106955,468540 - FECHAMENYO FRONTAL F4 6 -ICAM,32,,,,3/16,"0,8.42092e+19","4000,00 x 1200,00 mm","4,00",27/03/2025,Laser,1816,,,,PCP
106955,480009 - ANILHO DA MOLA [CAÇAMBA SIMPLES,0,,,,3/16,"0,8.42092e+19","4000,00 x 1200,00 mm","4,00",27/03/2025,Laser,1816,,,,PCP
106955,483023-FECHAMENTO LATERAL ICAM (M98) FA,128,,,,3/16,"0,8.42092e+19","4000,00 x 1200,00 mm","4,00",27/03/2025,Laser,1816,,,,PCP
106955,030376 - FIXADOR CHAPA LATERAL _ TAMPA L,0,,,,3/16,"0,8.42092e+19","4000,00 x 1200,00 mm","4,00",27/03/2025,Laser,1816,,,,PCP
106955,412661,24,,,,3/16,"0,8.42092e+19","4000,00 x 1200,00 mm","4,00",27/03/2025,Laser,1816,,,,PCP
106955,032467 - FECHAMENTO [EIXO - CBH6],28,,,,3/16,"0,8.42092e+19","4000,00 x 1200,00 mm","4,00",27/03/2025,Laser,1816,,,,PCP
106955,448552-plasma,236,,,,3/16,"0,8.42092e+19","4000,00 x 1200,00 mm","4,00",27/03/2025,Laser,1816,,,,PCP
20166,028766 - DOBRADIÇA [FUEIRO - CBH],71,"135,20 × 45,00 mm","0,4 kg",0:00:45,"MS 10,00 mm ","63,08%","670,00 × 790,00 mm","1,00",27/03/2025,Plasma,,opp,,,PCP
106956,"030544B - COMPLEMENTO CHAPEAMENTO LATERAL _ CAÇAMBA 1-2 EIXOS TRS-ABL _ CBH 6,0T",4,,,,"2,65 mm ","0,955","1210,00 × 3800,00 mm","2,00",27/03/2025,Laser JYF,1525 JFY,,,,PCP
106957,"030544A - COMPLEMENTO CHAPEAMENTO LATERAL _ CAÇAMBA 1-2 EIXOS TRS-ABL _ CBH 6,0T",4,,,,"2,65 mm ","0,9453","1210,00 × 3800,00 mm","4,00",27/03/2025,Laser JYF,1524 JFY,,,,PCP
20167,028766 - DOBRADIÇA [FUEIRO - CBH],5,"135,20 × 45,00 mm","0,4 kg",0:00:45,"MS 10,00 mm ","75,95%","510,00 × 710,00 mm","1,00",27/03/2025,Plasma,,opp,,,PCP
20167,030381 - FIXADOR DO MACACO [SUPORTE FRONTAL - CBH],19,"135,00 × 100,00 mm","1,0 kg",0:01:11,"MS 10,00 mm ","75,95%","510,00 × 710,00 mm","1,00",27/03/2025,Plasma,,opp,,,PCP
1638 JFY,032552 - TRANSVERSINA TRASEIRA [PLATAFORMA - CBHM 4500],18,1490.00 * 416.87,,,"3,04 mm ","0,9182","1510,00 × 4000,00 mm","2,00",27/03/2025,Laser JYF,,opp,,,PCP
1638 JFY,030373 - TRASNV. INTERM. CENTRAL [CAÇAMBA - CBH],6,187.91 * 416.50,,,"3,04 mm ","0,9182","1510,00 × 4000,00 mm","2,00",27/03/2025,Laser JYF,,opp,,,PCP
1638 JFY,027174 - FECHAMENTO PROTEÇÃO  PLATAFORMA,104,50.00 * 30.00,,,"3,04 mm ","0,9182","1510,00 × 4000,00 mm","2,00",27/03/2025,Laser JYF,,opp,,,PCP
1638 JFY,029128 - FECHAMENTO DO FUEIRO,244,40.00 * 56.00,,,"3,04 mm ","0,9182","1510,00 × 4000,00 mm","2,00",27/03/2025,Laser JYF,,opp,,,PCP
1638 JFY,027671 - BASE DA PLATAFORMA DE REFUGO,4,200.00 * 137.93,,,"3,04 mm ","0,9182","1510,00 × 4000,00 mm","2,00",27/03/2025,Laser JYF,,opp,,,PCP
1639 JFY,"025594 - CORPO - FECHAM LATERAL (ALT60) - S4,0M",34,3882.00 * 744.00,,,"2,65 mm ","0,9218","1200,00 × 4000,00 mm","34,00",27/03/2025,Laser JYF,,opp,,,PCP
1639 JFY,491421 - GUARDA DE FECHAMENTO [CORPO DO TANQUE - FTC4300-6500],204,1600.00 * 123.60,,,"2,65 mm ","0,9218","1200,00 × 4000,00 mm","34,00",27/03/2025,Laser JYF,,opp,,,PCP
1639 JFY,034250 - REFORÇO INFERIOR 3 [PLATAFORMA - CBHM],102,520.00 * 115.50,,,"2,65 mm ","0,9218","1200,00 × 4000,00 mm","34,00",27/03/2025,Laser JYF,,opp,,,PCP
1639 JFY,425849 - COMLEM TRANSV TRASEIRA CBHM,544,148.54 * 73.00,,,"2,65 mm ","0,9218","1200,00 × 4000,00 mm","34,00",27/03/2025,Laser JYF,,opp,,,PCP
1640 JFY,025639 - CORPO DO FECHAM TRAS,10,2293.00 * 744.00,,,"2,65 mm ","0,9262","1200,00 × 2500,00 mm","10,00",27/03/2025,Laser JYF,,opp,,,PCP
1640 JFY,031227 - CANTONEIRA INF. TAMPA TRASEIRA M18,30,1932.00 * 111.09,,,"2,65 mm ","0,9262","1200,00 × 2500,00 mm","10,00",27/03/2025,Laser JYF,,opp,,,PCP
1640 JFY,034250 - REFORÇO INFERIOR 3 [PLATAFORMA - CBHM],40,520.00 * 115.50,,,"2,65 mm ","0,9262","1200,00 × 2500,00 mm","10,00",27/03/2025,Laser JYF,,opp,,,PCP
1640 JFY,425849 - COMLEM TRANSV TRASEIRA CBHM,190,148.54 * 73.00,,,"2,65 mm ","0,9262","1200,00 × 2500,00 mm","10,00",27/03/2025,Laser JYF,,opp,,,PCP
2880,425801-GUIA DA PLATAFORMA CBHM,0,,,,1/4 ,0.8774433259133747,"3000,00 x 1200,00 mm","2,00",27/03/2025,Laser,,opp,,,PCP
2880,030721-COMPLEMENTO DA LONGARINA,0,,,,1/4 ,0.8774433259133747,"3000,00 x 1200,00 mm","2,00",27/03/2025,Laser,,opp,,,PCP
2880,468745 - PLASMA,0,,,,1/4 ,0.8774433259133747,"3000,00 x 1200,00 mm","2,00",27/03/2025,Laser,,opp,,,PCP
2880,031905 - SUPORTE DO GIGANTE _ FECHAMENTO,0,,,,1/4 ,0.8774433259133747,"3000,00 x 1200,00 mm","2,00",27/03/2025,Laser,,opp,,,PCP
2880,032011 - GUIA  _ BASE DO MOTOR HIDRAULIC,0,,,,1/4 ,0.8774433259133747,"3000,00 x 1200,00 mm","2,00",27/03/2025,Laser,,opp,,,PCP
2880,025734 - PLASMA,0,,,,1/4 ,0.8774433259133747,"3000,00 x 1200,00 mm","2,00",27/03/2025,Laser,,opp,,,PCP
2880,030589 - PROTEÇÃO DO MACACO,0,,,,1/4 ,0.8774433259133747,"3000,00 x 1200,00 mm","2,00",27/03/2025,Laser,,opp,,,PCP
2880,030540-TRANSVERSINA DIANTEIRA,0,,,,1/4 ,0.8774433259133747,"3000,00 x 1200,00 mm","2,00",27/03/2025,Laser,,opp,,,PCP
2880,034586 - PLACA DE FIXAÇÃO [ROLO MOTOR -,0,,,,1/4 ,0.8774433259133747,"3000,00 x 1200,00 mm","2,00",27/03/2025,Laser,,opp,,,PCP
2880,032694 - SUPORTE DO GIGANTE [FA2A M22],0,,,,1/4 ,0.8774433259133747,"3000,00 x 1200,00 mm","2,00",27/03/2025,Laser,,opp,,,PCP
2880,18338,988,,,,1/4 ,0.8774433259133747,"3000,00 x 1200,00 mm","2,00",27/03/2025,Laser,,opp,,,PCP
2880,490313-REFORÇO TRAVA T TRAS ACESS CBHM,0,,,,1/4 ,0.8774433259133747,"3000,00 x 1200,00 mm","2,00",27/03/2025,Laser,,opp,,,PCP
2880,030993-ENGATE GRADE,0,,,,1/4 ,0.8774433259133747,"3000,00 x 1200,00 mm","2,00",27/03/2025,Laser,,opp,,,PCP
2880,459562 - TRAVA DO EIXO [EIXO COMPLETO -,0,,,,1/4 ,0.8774433259133747,"3000,00 x 1200,00 mm","2,00",27/03/2025,Laser,,opp,,,PCP
2880,415017-BRAÇADEIRA P-FEIXE DE MOLAS-PLASM,0,,,,1/4 ,0.8774433259133747,"3000,00 x 1200,00 mm","2,00",27/03/2025,Laser,,opp,,,PCP
20168,030501- REFORÇO LONGARINA,12,"950,00 × 163,00 mm","8,3 kg",0:01:03,"MS 8,00 mm ","87,30%","1820,00 × 1200,00 mm","1,00",27/03/2025,Plasma,,opp,,,PCP
20168,030387 - BASE MOVEL [MACACO - CBH],2,"24,10 × 90,00 mm","0,1 kg",0:00:37,"MS 8,00 mm ","87,30%","1820,00 × 1200,00 mm","1,00",27/03/2025,Plasma,,opp,,,PCP
20168,"025846 - REFORÇO LATERAL DA PLACA _ 5 RODA _ CBH-CBHM 6,0T",18,"92,00 × 184,00 mm","0,8 kg",0:00:20,"MS 8,00 mm ","87,30%","1820,00 × 1200,00 mm","1,00",27/03/2025,Plasma,,opp,,,PCP
20168,025842 - REF DA PLACA - 5 RODA - CBH  CBHM 02 EIXOS,12,"88,52 × 97,00 mm","0,4 kg",0:00:16,"MS 8,00 mm ","87,30%","1820,00 × 1200,00 mm","1,00",27/03/2025,Plasma,,opp,,,PCP
1641 JFY,025848,6,620.00 * 563.90,,,"6,35 mm ","0,9143","1200,00 × 3010,00 mm","1,00",27/03/2025,Laser JYF,,opp,,,PCP
1641 JFY,025847 - PLACA DE APOIO - 5 RODA - CBH  CBHM 02 EIXOS,4,390.00 * 640.00,,,"6,35 mm ","0,9143","1200,00 × 3010,00 mm","1,00",27/03/2025,Laser JYF,,opp,,,PCP
1641 JFY,018338 - ENGATE S TRAVA - GRADES CBHM,25,150.00 * 44.00,,,"6,35 mm ","0,9143","1200,00 × 3010,00 mm","1,00",27/03/2025,Laser JYF,,opp,,,PCP
1641 JFY,409959 - SUPORTE DA COLUNA   CBHM,9,146.00 * 140.00,,,"6,35 mm ","0,9143","1200,00 × 3010,00 mm","1,00",27/03/2025,Laser JYF,,opp,,,PCP
20169,026416-CORPO DA TRAVA DA TAMPA-CBH-CBHM-F4-6,101,"241,32 × 170,50 mm","1,0 kg",0:00:59,"MS 12,00 mm ","53,62%","2000,00 × 1500,00 mm","1,00",27/03/2025,Plasma,,opp,,,PCP
20169,"425760 - (NÃO OFICIAL)  SUPORTE DO CILINDRO _ CHASSI DA CAÇAMBA-PLATAFORMA 1 EIXO _ CBH-CBHM 4,0-6,0T",112,"80,00 × 87,00 mm","0,5 kg",0:00:34,"MS 12,00 mm ","53,62%","2000,00 × 1500,00 mm","1,00",27/03/2025,Plasma,,opp,,,PCP
20170,429399 - BASE DO ESGUICHO [CHASSI - FTC],12,"140,17 × 100,00 mm","0,6 kg",0:00:43,"MS 6,00 mm ","90,27%","6000,00 × 1200,00 mm","1,00",27/03/2025,Plasma,,opp,,,PCP
20170,025835,20,"242,00 × 100,00 mm","1,1 kg",0:00:20,"MS 6,00 mm ","90,27%","6000,00 × 1200,00 mm","1,00",27/03/2025,Plasma,,opp,,,PCP
20170,031556,12,"2020,00 × 259,30 mm","18,7 kg",0:01:37,"MS 6,00 mm ","90,27%","6000,00 × 1200,00 mm","1,00",27/03/2025,Plasma,,opp,,,PCP
20170,025841 - LIMITADOR - 5 RODA - CBH  CBHM 02 EIXOS,20,"115,00 × 70,00 mm","0,4 kg",0:00:16,"MS 6,00 mm ","90,27%","6000,00 × 1200,00 mm","1,00",27/03/2025,Plasma,,opp,,,PCP
20170,"410214 -PORTA ALAV COMANDO ICAM A3,5",34,"72,00 × 80,00 mm","0,3 kg",0:00:27,"MS 6,00 mm ","90,27%","6000,00 × 1200,00 mm","1,00",27/03/2025,Plasma,,opp,,,PCP
20170,425187,5,"705,00 × 235,00 mm","6,3 kg",0:00:36,"MS 6,00 mm ","90,27%","6000,00 × 1200,00 mm","1,00",27/03/2025,Plasma,,opp,,,PCP
20170,494616 - FECHAMENTO SUPERIOR [FUEIRO - CBHM],3,"40,00 × 95,00 mm","0,2 kg",0:00:14,"MS 6,00 mm ","90,27%","6000,00 × 1200,00 mm","1,00",27/03/2025,Plasma,,opp,,,PCP
20170,033612 - ARRUELA [ESPAÇADOR - CBH M18],43,"38,00 × 38,00 mm","0,0 kg",0:00:24,"MS 6,00 mm ","90,27%","6000,00 × 1200,00 mm","1,00",27/03/2025,Plasma,,opp,,,PCP
1642 JFY,409960  TRANSVERSINA CENTRAL PLAT CBHM 4500,34,152.00 * 1594.00,,,"3,04 mm ","0,9277","1500,00 × 4000,00 mm","2,00",27/03/2025,Laser JYF,,opp,,,PCP
1642 JFY,424780 - TRANSV. MENOR,28,152.00 * 518.00,,,"3,04 mm ","0,9277","1500,00 × 4000,00 mm","2,00",27/03/2025,Laser JYF,,opp,,,PCP
1642 JFY,440115-PLASMA,8,60.00 * 1200.00,,,"3,04 mm ","0,9277","1500,00 × 4000,00 mm","2,00",27/03/2025,Laser JYF,,opp,,,PCP
1642 JFY,030614 - REFORÇO INTERNO DO ENGATE,28,106.00 * 63.00,,,"3,04 mm ","0,9277","1500,00 × 4000,00 mm","2,00",27/03/2025,Laser JYF,,opp,,,PCP
1643 JFY,425941,20,1488.00 * 595.00,,,2 mm ,"0,9142","1200,00 × 3510,00 mm","10,00",27/03/2025,Laser JYF,,opp,,,PCP
1643 JFY,493211 - CHAPEAMENTO [TAMPA TRASEIRA - CBHM4500],10,1075.83 * 1486.00,,,2 mm ,"0,9142","1200,00 × 3510,00 mm","10,00",27/03/2025,Laser JYF,,opp,,,PCP
1643 JFY,031018 - COLUNA LATERAL ALT 45 MD rev 03,90,153.61 * 350.00,,,2 mm ,"0,9142","1200,00 × 3510,00 mm","10,00",27/03/2025,Laser JYF,,opp,,,PCP
1644 JFY,030317 - LONGARINA,24,2695.00 * 346.00,,,"4,75 mm ","0,9225","1200,00 × 2820,00 mm","8,00",27/03/2025,Laser JYF,,opp,,,PCP
1644 JFY,"030318 - TRANSVERSINA DIANTEIRA _ CHASSI 1 EIXO _ CBH-CBHM 4,0T",0,298.00 * 240.95,,,"4,75 mm ","0,9225","1200,00 × 2820,00 mm","8,00",27/03/2025,Laser JYF,,opp,,,PCP
1644 JFY,030375 - FIXADOR [TAMPA LATERAL - CBH],88,100.00 * 94.97,,,"4,75 mm ","0,9225","1200,00 × 2820,00 mm","8,00",27/03/2025,Laser JYF,,opp,,,PCP
1644 JFY,"013213 - FECHAMENTO LATERAL _ TAMPA TRASEIRA 1,10M _ CBHM 5000-6000",24,100.05 * 1100.00,,,"4,75 mm ","0,9225","1200,00 × 2820,00 mm","8,00",27/03/2025,Laser JYF,,opp,,,PCP
1644 JFY,030388 - COMPLEMENTO BASE MÓVEL,80,78.99 * 36.70,,,"4,75 mm ","0,9225","1200,00 × 2820,00 mm","8,00",27/03/2025,Laser JYF,,opp,,,PCP
1645 JFY,030317 - LONGARINA,0,2695.00 * 346.00,,,"4,75 mm ","0,8646","1200,00 × 2820,00 mm","1,00",27/03/2025,Laser JYF,,opp,,,PCP
1645 JFY,"030318 - TRANSVERSINA DIANTEIRA _ CHASSI 1 EIXO _ CBH-CBHM 4,0T",20,298.00 * 240.95,,,"4,75 mm ","0,8646","1200,00 × 2820,00 mm","1,00",27/03/2025,Laser JYF,,opp,,,PCP
1645 JFY,030375 - FIXADOR [TAMPA LATERAL - CBH],10,100.00 * 94.97,,,"4,75 mm ","0,8646","1200,00 × 2820,00 mm","1,00",27/03/2025,Laser JYF,,opp,,,PCP
1645 JFY,"013213 - FECHAMENTO LATERAL _ TAMPA TRASEIRA 1,10M _ CBHM 5000-6000",0,100.05 * 1100.00,,,"4,75 mm ","0,8646","1200,00 × 2820,00 mm","1,00",27/03/2025,Laser JYF,,opp,,,PCP
1645 JFY,030388 - COMPLEMENTO BASE MÓVEL,68,78.99 * 36.70,,,"4,75 mm ","0,8646","1200,00 × 2820,00 mm","1,00",27/03/2025,Laser JYF,,opp,,,PCP
1645 JFY,030645- REFORÇO TRANSV. TRAS. DIANT.,13,190.00 * 647.00,,,"4,75 mm ","0,8646","1200,00 × 2820,00 mm","1,00",27/03/2025,Laser JYF,,opp,,,PCP
106958,"032402 - FECHAMENTO _ EIXO DIANTEIRO-TRASEIRO-BALANCIM _ FA-FTC-CBH-CBHM 4,0T-6,0T",104,,,,"4,75 mm ","0,9139","1200,00 × 2820,00 mm","8,00",27/03/2025,Laser JYF,1518 JFY,,,,PCP
106958,030317 - LONGARINA,24,,,,"4,75 mm ","0,9139","1200,00 × 2820,00 mm","8,00",27/03/2025,Laser JYF,1518 JFY,,,,PCP
106958,414426- porta trava ré planificado,56,,,,"4,75 mm ","0,9139","1200,00 × 2820,00 mm","8,00",27/03/2025,Laser JYF,1518 JFY,,,,PCP
106958,030376 - FIXADOR CHAPA LATERAL _ TAMPA LATERAL SUPERIOR _ CBH,80,,,,"4,75 mm ","0,9139","1200,00 × 2820,00 mm","8,00",27/03/2025,Laser JYF,1518 JFY,,,,PCP
106958,030388 - COMPLEMENTO BASE MÓVEL,112,,,,"4,75 mm ","0,9139","1200,00 × 2820,00 mm","8,00",27/03/2025,Laser JYF,1518 JFY,,,,PCP
20171,036089 - FLANGE 12pol,10,"456,00 × 456,00 mm","8,5 kg",0:04:39,"MS 12,00 mm ","63,03%","4000,00 × 1500,00 mm","1,00",27/03/2025,Plasma,,opp,,,PCP
20171,036060 - FLANGE 10pol,11,"404,00 × 404,00 mm","6,7 kg",0:04:33,"MS 12,00 mm ","63,03%","4000,00 × 1500,00 mm","1,00",27/03/2025,Plasma,,opp,,,PCP
20171,036786 - FLANGE 14 in,5,"510,00 × 510,00 mm","9,5 kg",0:05:55,"MS 12,00 mm ","63,03%","4000,00 × 1500,00 mm","1,00",27/03/2025,Plasma,,opp,,,PCP
20171,023243 - ESBARRO [CHASSI - CBH],50,"76,00 × 250,08 mm","1,7 kg",0:00:27,"MS 12,00 mm ","63,03%","4000,00 × 1500,00 mm","1,00",27/03/2025,Plasma,,opp,,,PCP
20171,"425760 - SUPORTE DO CILINDRO _ CHASSI DA CAÇAMBA-PLATAFORMA 1 EIXO _ CBH-CBHM 4,0-6,0T",43,"80,00 × 87,00 mm","0,5 kg",0:00:33,"MS 12,00 mm ","63,03%","4000,00 × 1500,00 mm","1,00",27/03/2025,Plasma,,opp,,,PCP
20171,025588-SUPORTE DO FREIO,52,"106,54 × 132,74 mm","0,8 kg",0:00:51,"MS 12,00 mm ","63,03%","4000,00 × 1500,00 mm","1,00",27/03/2025,Plasma,,opp,,,PCP
1646 JFY,026454-PLASMA,57,95.00 * 596.00,,,"3,75 mm ","0,9135","1200,00 × 4000,00 mm","1,00",27/03/2025,Laser JYF,,opp,,,PCP
1646 JFY,494501 ABA LATERAL TAMPA TRAS,15,250.00 * 850.00,,,"3,75 mm ","0,9135","1200,00 × 4000,00 mm","1,00",27/03/2025,Laser JYF,,opp,,,PCP
1646 JFY,465422.FECH. TRAS. LONG. PLASMAdwg,1,62.00 * 212.00,,,"3,75 mm ","0,9135","1200,00 × 4000,00 mm","1,00",27/03/2025,Laser JYF,,opp,,,PCP
1646 JFY,031017 - FECHAMENTO LATERAL ALT 45 [GRADE TRASEIRA - F],5,51.00 * 450.00,,,"3,75 mm ","0,9135","1200,00 × 4000,00 mm","1,00",27/03/2025,Laser JYF,,opp,,,PCP
106959,425953 - FECHAMENTO LATERAL _ TAMPA DIANTEIRA-LATERAL SUPERIOR-INFERIOR 45CM _ CBHM 4500-5000-6000-8000-10000,244,,,,"3,75 mm ","0,9114","1210,00 × 4010,00 mm","2,00",28/03/2025,Laser JYF,1026 JFY,,,,PCP
106959,031017 - FECHAMENTO LATERAL ALT 45 [GRADE TRASEIRA - F],0,,,,"3,75 mm ","0,9114","1210,00 × 4010,00 mm","2,00",28/03/2025,Laser JYF,1026 JFY,,,,PCP
106959,429764-plasma,6,,,,"3,75 mm ","0,9114","1210,00 × 4010,00 mm","2,00",28/03/2025,Laser JYF,1026 JFY,,,,PCP
